id,제품명,제품회사,분류,성분,효능,용법,저장방법
68,  대한생리식염주사액(염화나트륨)  ,  대한약품공업(주)  ,19931013,   염화나트륨  ,"  염화나트륨으로서 보통 20～1,000mL를 피하, 정맥, 점적 정맥주사 또는 직장에 주입한다.  ","  *0.45, 0.9% 주사제염화나트륨으로서 보통 20～1,000mL를 피하, 정맥, 점적 정맥주사 또는 직장에 주입한다.투여량, 투여속도는 연령, 체중, 증상에 따라 적절히 증감한다.주사제의 용해 희석에는 적정량을 사용한다.*키트주사제분말주사용 의약품을 용해시킨 후 점적 정맥주사한다.(적용상의 주의 ‘키트주사제의 용해조작방법’ 참조)*3% 주사제이론적 요구량에 따라 결정된 투여량을 염화나트륨으로서 시간당 100mL 이하의 속도로 천천히 점적 정맥주사하되, 24시간동안 400mL를 초과해서는 안된다.투여량, 투여속도는 연령, 체중, 증상에 따라 적절히 증감한다.투여하는 동안 체액 및 전해질 평형을 모니터링해야 한다.*11.7% 주사제체내의 수분과 전해질의 부족한 정도에 따라 전해질 보액에 첨가하여 사용한다.  ","  밀봉용기, 실온(1∼30℃)보관  "
69,  대한5%포도당가칼륨나트륨주1호  ,  대한약품공업(주)  ,19930928,"   염화나트륨, 포도당, 염화칼륨  ","   탈수증, 수술전후 등의 수분ㆍ전해질 보급  ","   보통 성인 1회 500～1,000mL를 점적 정맥주사한다.투여속도는 포도당으로서 1시간에 체중 kg당 0.5g 이하로 한다.투여량, 투여속도는 연령, 체중, 증상에 따라 적절히 증감한다.  ","  밀봉용기, 실온보관(1~30℃)  "
70,  대한말레인산에날라프릴(원료)  ,  대한약품공업(주)  ,19930908,"  첨가제 : 무수망초, 말산, 염화나트륨, 엔(1(에스)에톡시카르보닐3페닐프로필)엘알라닌, 아세토니트릴, 초산에칠, 염화메칠렌, 엘프롤린, 염산, 오염화인, 엔헥산, 트리에칠아민, 에탄올  ",  의약품 조제 또는 제조용  ,  의약품 조제 또는 제조용  ,  기밀용기  
71,  유니독시캅셀(독시사이클린수화물)  ,  (주)마더스제약  ,  국제약품(주)  ,   독시사이클린수화물  ,   유효균종  ,"   성인 : 독시사이클린으로서 초회량으로는 1회 100 mg(역가)을 12시간마다 경구투여한다. 유지량으로는 1일 100 mg(역가)을 1 ∼ 2회 분할 투여한다. 12세 이상 청소년 : 체중 45 kg이하인 경우는 초회량으로는 체중 kg당 4 mg(역가)을 1일 2회 분할 경구 투여한다. 유지량으로는 1일 체중 kg당 2 mg(역가)을 1 ∼ 2회 분할 투여한다. 체중 45 kg 초과하는 경우는 성인 용량에 해당하는 용량을 투여한다. 중증 감염증인 경우 초회량을 12시간마다 투여한다.이 약은 증세가 가라앉고 열이 내린 후에도 24 ～ 48시간을 더 투여하여야 한다.연쇄구균감염증에는 류마티스열이나 사구체신염의 발현을 방지하기 위하여 적어도 10일간 투여를 계속한다.연령, 증상에 따라 적절히 증감한다.  ",  DUR성분(성분1/성분2.. 병용성분 )독시사이클린 이소트레티노인   
72,  국제세포페라존나트륨(원료)  ,  국제약품(주)  ,19930517,"  첨가제 : 디에틸아민, 7아미노세팔로스포라닉산, D()α(2,3디옥소4에틸1피페라지노카르보닐아미노)4하이드록시페닐아세트산, 1메틸5머캅토Ⅲ1,2,3,4테트라졸, 트리에틸아민, 주사용수, 아세토니트릴, 피발로일클로라이드, 메틸렌클로라이드, 탄산수소나트륨, 아세톤, 묽은 염산, 정제수, 세포페라존  ",  의약품 조제 또는 제조용  ,  의약품 조제 또는 제조용  ,"  기밀용기, 20℃이하 보관  "
73,  국제세프테졸나트륨(원료)  ,  국제약품(주)  ,19930517,"  첨가제 : 이소프로판올, 7아미노세팔로스포린산(7에이ㆍ씨ㆍ에이), 트리에틸아민, 주사용수, 아세토니트릴, 피로아황산나트륨, 아세톤, 1,1,3,3테트라메틸구아니딘, 염산, 7아미노3 2(1,3,4치아디아졸릴)치오메틸 3세펨4카르복실산, 알루미나, 무수에탄올, 아세트산나트륨수화물, 디클로로메탄, 에탄올, 활성탄, 2머캅토1,3,4치아디아졸, 차아황산나트륨, 디에틸아민, 에칠아세테이트, 염화피발로일, 테트라히드로퓨란, 탄산수소나트륨, 1테트라졸아세트산, 묽은 염산  ",  의약품 조제 또는 제조용  ,  의약품 조제 또는 제조용  ,"  실온보관, 기밀용기  "
74,  국제세프메타졸나트륨(원료)  ,  국제약품(주)  ,19930726,"  첨가제 : 디페닐메칠7베타아미노7알파메톡시3 5(1메칠1,2,3,4테트라졸일)티오메칠 Δ³세펨4카르복실레이트, 에칠아세테이트, 염화나트륨, 이소프로필 에테르, 아니솔, 활성탄, 알루미늄클로라이드, 건조탄산나트륨, 디메칠아닐린, 황산나트륨(무수), 염산, 오염화인, 아세톤, 디클로로메탄, 정제수, 시아노메칠치오아세트산 칼륨, 이소프로판올, 탄산수소나트륨  ",  의약품 조제 또는 제조용  ,  의약품 조제 또는 제조용  ,"  실온보관, 밀봉용기  "
75,한신소건중탕엑스과립,(주)한국신약,19790108," 계지, 작약, 대추, 감초, 교이, 생강","체질 허약으로 피로하기 쉽고 혈색이 좋지 않으며 복통, 두근거림, 손발이 화끈거리거나 냉하고 빈뇨 또는 다뇨 등을 수반하는 증상 : 소아허약체질, 피로권태, 신경질, 만성위장염, 소아야뇨증, 야제증(어린이가 밤에 울고 보채는 증상)","보통 성인 1회 1포(1회 용량) 1회 7～14세 2/3포, 4～6세 1/2포, 2～3세 1/3포, 1세 이하 1/4포를 1일 3회 식전 또는 식간에 복용한다.",DUR성분(성분1/성분2..병용성분)유당
76,한신복령엑스과립,(주)한국신약,19790122, 복령연조엑스,이뇨,1일 0.913.5그램(조제용),DUR성분(성분1/성분2..병용성분)유당
77,한신계지엑기스과립,(주)한국신약,19790122, 계지엑스,"방향성 건위, 구풍","1일 23회, 0.35그람씩을 분복함(조제용)",DUR성분(성분1/성분2..병용성분)유당
78,한신백출엑기스과립,(주)한국신약,19790122, 백출엑스,"방향성건위, 이뇨, 발안",1일 1.53.16그램(조제용),DUR성분(성분1/성분2..병용성분)유당
79,한신대황엑기스과립,(주)한국신약,19790122, 대황엑스,변비증,대황 엑기스로서 보통 성인 1회 0.51그램을 1일 3회 경구투여한다.연령 증상에 따라 적절히 증감한다,DUR성분(성분1/성분2..병용성분)유당
80,한신작약엑기스과립,(주)한국신약,19790122, 작약엑스,"부인병, 진통, 진경(복통, 위경련)",1일 1.1  2그램(조제용),DUR성분(성분1/성분2..병용성분)유당
81,한신황기엑기스과립,(주)한국신약,19790221, 황기엑스,"완하, 제한, 이뇨, 마비",1일 1∼6.67그람(조제용),DUR성분(성분1/성분2..병용성분)유당
82,한신당귀사역가오수유생강탕엑스과립,(주)한국신약,19790417," 오수유, 당귀, 계지, 작약, 대추, 세신, 감초, 목통, 생강","손발 및 하지가 차가우며, 하지 또는 하복부가 아프기 쉬운 사람의 다음 증상 : 동창, 두통, 하복부통, 요통",보통 성인 1회 1포(1회 용량)를 1일 3회 식전 또는 식간에 복용한다.,DUR성분(성분1/성분2..병용성분)유당
83,한신소경활혈탕과립,(주)한국신약,19790608," 강활, 당귀, 진피, 용담, 복령, 방기, 지황, 우슬, 백지, 위령선, 방풍, 백출, 도인, 작약, 감초, 생강, 천궁","관절통, 신경통, 요통, 근육통",보통 성인 1회 1포(1회 용량)를 1일 3회 식전 또는 식간에 복용한다.,DUR성분(성분1/성분2..병용성분)유당
84,한신마황부자세신탕엑스과립,(주)한국신약,19790716," 마황, 세신, 포부자","오한, 미열, 전신권태, 저혈압성 두통, 어지러움, 팔다리에 통증, 냉감이 있는 다음 증상 : 감기, 기침, 기관지염",보통 성인 1회 1포(1회 용량)를 1일 3회 식전 또는 식간에 복용한다.,기밀용기
85,한신마황부자세신탕정,(주)한국신약,19790716," 마황, 세신, 가공부자말","오한, 미열, 전신권태, 저혈압성 두통, 어지러움, 팔다리에 통증, 냉감이 있는 다음 증상 : 감기, 기침, 기관지염",보통 성인 1회 3～5정을 1일 3회 식전 또는 식간에 복용한다.,기밀용기
86,한신방풍통성산엑스과립,(주)한국신약,19790309," 당귀, 치자, 마황, 형개, 대황, 황금, 연교, 활석, 박하, 망초, 방풍, 백출, 작약, 석고, 감초, 길경, 생강, 천궁",배에 피하지방이 많고 변비기가 있는 환자의 다음 증상 :,보통 성인 1회 1포(1회 용량)를 1일 3회 식전 또는 식간에 복용한다.,DUR성분(성분1/성분2..병용성분)유당
87,한신백호가인삼탕엑스과립,(주)한국신약,19790417," 지모, 석고, 인삼, 감초, 갱미","목이 마르고, 화끈거림이 있는 증상",보통 성인 1회 1포(1회 용량)를 1일 3회 식전 또는 식간에 복용한다.,DUR성분(성분1/성분2..병용성분)유당
88,청위단,(주)한국신약,19791029," 목향, 복령, 정향, 백출, 곽향, 사인, 백두구, 감초, 지실, 가자, 필발, 산초, 후추, 고량강, 육계, L멘톨, 산사, 건강, 향부자",구갈이 있고 신체에 번열이 있는 자.,성인 1일 3회 1회 1포(5.0그람)씩 식전 또는 식간에 복용..,"기밀용기, 실온보관"
89,한신마황탕엑스과립,(주)한국신약,19790309," 마황, 계지, 감초, 행인","감기 초기에 오한, 발열, 두통, 몸살이 있는 다음 증상 : 감기, 코감기",보통 성인 1회 1포(1회 용량)를 1일 3회 식전 또는 식간에 복용한다.,DUR성분(성분1/성분2..병용성분)유당
90,한신십전대보탕과립,(주)한국신약,19790417," 당귀, 황기, 계지, 백출, 숙지황, 작약, 복령, 인삼, 감초, 천궁","병후 체력저하, 피로권태, 식욕감퇴(식욕부진), 도한(盜汗, 야간에 자는 동안 땀이 나지만 느끼지 못하고 깨어나면 땀이 그치는 증상), 손발이 차가움, 빈혈",보통 성인 1회 1포(1회 용량)(1병)을 1일 3회 식전 또는 식간에 복용한다.,DUR성분(성분1/성분2..병용성분)유당
91,로체스과립(가미귀비탕엑스과립),엔비케이제약(주),19790818," 목향, 산조인, 당귀, 치자, 목단피, 복령, 원지, 황기, 시호, 백출, 대추, 용안육, 감초, 건강, 인삼","허약 체질로 혈색이 좋지 못한 사람의 다음과 같은 증상 : 빈혈, 불면증, 정신불안, 신경과민",보통 성인 1회 1포(1회 용량)를 1일 3회 식전 또는 식간에 복용한다.,기밀용기                                                    
92,슈타환(연령고분단),엔비케이제약(주),19791015," 오미자, 목향, 구기자, 맥문동, 숙지황, 산수유, 복령, 우슬, 파극천, 석창포, 차전자, 인삼, 천문동, 복분자, 생지황, 택사, 토사자, 산초, 두충, 백자인, 원지, 산약, 지골피, 육종용","전신권태, 신경통, 신경쇠약, 식욕감퇴(식욕부진), 손발이 참",보통 성인 1회 2환을 1일 3회 식전 또는 식간에 씹어서 복용한다.,"기밀용기, 실온(130℃)보관"
93,우리들이부프로펜정200mg,우리들제약(주),19790904, 이부프로펜,"류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통","·류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염 : 성인 이부프로펜으로서 1회 200600mg 1일 34회 경구투여한다. 1일 최고 3200mg까지 투여할 수 있다.·연소성 류마티양 관절염 : 1일 체중 kg당 3040mg을 34회 분할 경구투여한다.·경증 및 중등도의 동통, 감기 : 성인 1회 200400mg 1일 34회 경구투여한다.·연령, 증상에 따라 적절히 증감한다.",기밀용기
94,신일베타메타손정,신일제약(주),전문의약품, 베타메타손,"교원병, 부신피질기능 부전증, 기관지 천식, 천식증적 발작상태, 천식성 기관지염, 소아천식성 기관지염, 혈청병, 약물 알레르기, 혈관운동신경성 비염, 고초열, 갑상샘 중독증, 신증 또는 신증후군, 중증급성간염, 국한성 장염, 궤양성 대장염, 자반병, 후천성 용혈성 빈혈, 재생불량성 빈혈, 급성 백혈병, 만성 림프구성 백혈병, 만성 골수성 백혈병의 급성전이, 과립구감소증, 유육종증, 호산성 육아종, 림프육종증, 세망육종증, 다발성 경화증, 시속척수염, 척수염, 뇌척수염, 길랑바레증후군, 소무도병, 안면신경마비, 스틸병, 근경화증, 척수성 지주막염, 울혈성 심부전, 아급성 갑상샘염, 갑상샘 질환에 수반하는 안구돌출증, 특발성 저혈당증, 폐선유증, 폐결핵(속립결핵, 중증결핵에 한함), 결핵성 수막염, 결핵성 흉막염, 결핵성 복막염, 중증감염증(화학 요법과 병용), 암 말기","\xa0질환의 종류, 증상, 개인차, 병용하는 다른 요법 등을 감안하여 각 환자에 따라 검토를 요한다.성인 : 베타메타손으로서 보통 초기 투여량으로 1일 1.5 ～ 3 mg, 유지량은 점차 감량하여 0.5 ～ 1.5 mg을 경구 투여한다.소아 : 초기 1일량의 경우 1세 미만은 성인용량의 1/4, 1 ～ 6세는 1/2, 12세 이하는 3/4을 투여하고 증상이 호전되면 2 ～ 7일마다 투여량은 0.25 ～ 0.5 mg씩 감량하면서 1일 최소유효량을 정하여 이것을 유지량으로 한다.",DUR성분(성분1/성분2..병용성분)베타메타손
95,우황청심원에이(수출용),조선무약(합),19790517," 우황, 당귀, 아교주, 맥문동, 복령, 황금, 방풍, 생강말, 계피, 백출, 대두황권, 인삼, 대추, 감초, 천궁, 신곡, 영양각, 백렴, 산약, 포황, 용뇌, 시호, 작약, 사향, 길경",고혈압에 따르는 다음의 제증상,대인 1일당 1환조석 1/2환씩 복용하기 쉬운 크기로 적당히 잘게 해서 혹은 이로 잘게 해서 물 또는 온탕으로 복용한다,"건냉암소, 상온에서 기밀용기에 저장함"
96,휴온스리도카인염산염수화물에피네프린주,(주)휴온스,19791117," 에피네프린타르타르산염, 리도카인염산염수화물","치과영역에 대한 전달마취, 침윤마취",전달마취 또는 침윤마취에 리도카인염산염수화물으로서 640mg(이 약으로서 0.3 2ml)를 사용하며 구강외과 영역에는 리도카인염산염수화물으로서 60100mg(이 약으로서 35ml)를 사용한다.,무색기밀용기에 저장하여 암소에 보관한다.
97,휴온스리도카인염산염수화물주사,(주)휴온스,19790125, 리도카인염산염수화물,"1) 방광경검사, 카테터 삽입, 소식자법, 기타 요도내 수술시 남성ㆍ여성의 요도","(액제 : 2% 점성)성인 : 건강한 성인에 대한 추천 1회 최대용량은 리도카인염산염수화물로서 체중 ㎏당 4.5㎎을 초과하지 않으며 어떠한 경우에도 총 투여량은 리도카인염산염수화물로서 300㎎(이 약으로서 15㎖)을 초과하지 않는다. 구강ㆍ인두 점막의 자극, 염증시의 대증요법으로는 리도카인염산염수화물로서 300㎎(이 약으로서 15㎖)을 투여한다. 구강 사용시에는 이 약을 머금은 후 뱉으며 인후 사용시에는 이 약을 머금은 후 연하시킬 수 있다. 3시간 이내에 재사용하지 않으며 24시간 이내에 8회 이상 사용하지 않는다.연령, 마취영역, 부위, 조직, 증상, 체질, 전신상태에 따라 적절히 증감한다.(겔 : 2%) 성인1. 요도마취1) 남성 요도의 표면마취 : 20 ㎖(리도카인염산염수화물로서 400㎎)를 주입하되, 이 약으로서 10 ㎖(리도카인염산염수화물로서 200㎎)를 천천히 삽입하고 음경 클램프를 수 분간 코로나에 적용한 후 나머지 약을 주입한다. 마취가 특히 중요한 경우 즉, 소식자법 또는 방광경검사시에는 다량(예로 이 약으로서 3040㎖)을 34회로 분할하여 적용할 수 있다.2) 여성 요도의 표면마취 : 이 약으로서 510㎖(리도카인염산염수화물로서 100200㎎)를 주입한다.2. 내시경 검사시 : 이 약으로서 1020㎖(리도카인염산염수화물로서 200400㎎)를 주입하며 윤활 작용을 목적으로 할 경우 소량을 기구에 적용한다.3. 기관지 삽관시의 윤활 : 삽입 직전에 튜브의 표면에 이 약으로서 약 5㎖(리도카인염산염수화물로서 100㎎)를 적용한다. 튜브 속으로 이 약이 들어가지 않도록 주의한다.연령, 마취영역, 부위, 조직, 증상, 체질, 전신상태에 따라 적절히 증감한다.(주사제 : 0.5% 근주용)성인 : 근주용 용해액을 사용하여 리도카인염산염수화물로서 1015㎎을 근육주사한다. 정맥주사에는 절대 사용하지 않는다.연령, 마취영역, 부위, 조직, 증상, 체질, 전신상태에 따라 적절히 증감한다.(주사제 : 1%)마취 성인1. 경막외마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 100200㎎2. 전달마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 30200㎎, 지지신경차단에는 30100㎎, 근간신경차단에는 50㎎까지3. 침윤마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 20200㎎4. 표면마취 : 적당량 도포 또는 분무연령, 마취영역, 부위, 조직, 증상, 체질, 전신상태에 따라 적절히 증감한다.내과적 사용 성인1. 정맥내 1회 투여법 : 리도카인염산염수화물로서 1회 50100㎎(12㎎/㎏)을 12분간 천천히 정맥주사한다. 효과가 나타나지 않는 경우에는 5분후에 동량을 투여한다. 또한, 효과의 지속을 기대하는 경우에는 1020분 간격으로 동량을 추가투여할 수 있으나 1시간내 기준최고투여량은 300㎎이다.2. 점적정맥내투여법 : 정맥내 1회 투여가 유효하여 효과의 지속을 기대하는 경우에는 심전도의 연속감시하에 점적정맥주사한다. 리도카인염산염수화물로서 1분간에 12㎎의 속도로 정맥주사한다. 필요한 경우에 투여속도를 증강시킬 수 있으나 최대속도는 1분간 4㎎이다.(주사제 : 2%)마취 성인1. 경막외마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 200㎎2. 전달마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 40200㎎, 지지신경차단에는 60120㎎3. 침윤마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 40200㎎4. 표면마취 : 적당량 도포 또는 분무연령, 마취영역, 부위, 조직, 증상, 체질, 전신상태에 따라 적절히 증감한다.내과적 사용 성인1. 정맥내 1회 투여법 : 리도카인염산염수화물로서 1회 50100㎎(12㎎/㎏)을 12분간 천천히 정맥주사한다. 효과가 나타나지 않는 경우에는 5분후에 동량을 투여한다. 또한, 효과의 지속을 기대하는 경우에는 1020분 간격으로 동량을 추가투여할 수 있으나 1시간내 기준최고투여량은 300㎎이다.2. 점적정맥내투여법 : 정맥내 1회 투여가 유효하여 효과의 지속을 기대하는 경우에는 심전도의 연속감시하에 점적정맥주사한다. 리도카인염산염수화물로서 1분간에 12㎎의 속도로 정맥주사한다. 필요한 경우에 투여속도를 증강시킬 수 있으나 최대속도는 1분간 4㎎이다.(주사제 : 0.5%) 성인1. 경막외마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 25150㎎, 교감신경차단에는 25100㎎2. 전달마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 15200㎎, 지지신경차단에는 1550㎎, 근간신경차단에는 25㎎까지3. 침윤마취(기준최고용량 : 리도카인염산염수화물로서 1회 200㎎) : 10200㎎4. 사지의 정맥국소마취 : 염산부피바카인으로서 200㎎을 초과하지 않는다.연령, 마취영역, 부위, 조직, 증상, 체질, 전신상태에 따라 적절히 증감한다.(주사제 : 4%) 성인1. 표면마취(구강, 인후, 기도, 요도 등 점막에 사용) : 건강한 성인에 대한 1회 최대용량은 리도카인염산염수화물로서 체중 ㎏당 4.5㎎이며 총 투여량은 리도카인염산염수화물로서 300㎎을 초과하지 않는다. 다음을 참고로 하여 적당량 도포 또는 분무한다.1) 기관지경(transtracheal)을 통한 국소마취시는 주입이 신속하게 이루어질 수 있도록 충분한 크기의 주사바늘을 통해 리도카인염산염수화물로서 80120㎎(이 약으로서 23㎖)을 주입한다. 때때로 완전한 진통효과를 위해 인두에 분무할 수 있으나 주입 및 분무로 투여한 총량은 리도카인염산염수화물로서 200㎎(이 약으로서 5㎖), 체중㎏당 3㎖을 초과하지 않는다.2) 국소적용 : 인후두경 검사, 기관지경 검사 및 기관내 삽관시 인두에 리도카인염산염수화물로서 40200㎎(이 약으로서 15㎖)을 분무한다.2. (0.5～2% 희석하여) 경막외마취, 전달마취, 침윤마취 : 기준최고용량은 리도카인염산염수화물로서 1회 200㎎이다.연령, 마취영역, 부위, 조직, 증상, 체질, 전신상태에 따라 적절히 증감한다.",DUR성분(성분1/성분2..병용성분)리도카인염산염
98,도벤콜(염화세틸피리디늄로젠스),초당약품공업(주),19790602, 염화세칠피리디니움,"다음 질환에 의한 염증의 완화 : 인두염, 편도염, 구내염","(구강 : 트로키제)ㆍ성인 : 염화세틸피리디늄으로서 1회 1.5mg 1일 45회 씹거나 삼키지 말고 입안에서 천천히 녹여 복용한다.ㆍ연령, 증상에 따라 적절히 증감한다.(구강 : 0.025%, 0.05% 구강분무액제)ㆍ식사 후 또는 대화전 등 구강청정을 요할 때 1수회 구강내에 분무한다.",상온기밀용기
99,"서울피라세탐캡슐(수출명:세탐캡슐,뉴로탐캡슐,필세탐캡슐,뉴로세탐캡슐)",(주)서울제약,19790320, 피라세탐,고령자의 인지력 장애(집중력·기억력 장애) 증상의 개선,"1. 성인 : 초기에 피라세탐으로서 1회 800㎎ 1일 3회 경구투여하고 증상이 호전되면 1회 400㎎ 1일 3회 투여한다. 1일 최대용량 4.8g을 초과하지 않는다.증상에 따라 적절히 증감한다.2. 노인신기능이 저하된 노인 환자에서는 용량 조절이 권장된다(아래의 ‘신장애 환자’에서의 용량 조절 방법을 참조). 노인을 장기간 치료할 때, 필요에 따라 용량을 조절하기 위해서는 크레아티닌 청소율에 대한 정기적인 평가가 필요하다.3. 신장애 환자1일 용량은 반드시 신기능에 따라 개별적으로 정해야 한다. 아래의 표를 참고하여 지시된 대로 용량을 조절해야 한다. 이 용량표를 이용할 때 환자의 크레아티닌 청소율(CLcr)이 필요하다. ml/min 단위로 표시한 크레아티닌 청소율(CLcr)은 다음의 공식을 이용하여 혈청 크레아티닌 수치(mg/dl)로부터 추정할 수 있다. CLcr(ml/min) =  140연령(세) X 체중(kg)  (여성인 경우X0.85)  72 X 혈청 크레아티닌(mg/dl)  분류  크레아티닌 청소율 (ml/min)  용법 용량  정상  ≥ 80  1일 용량과 동일, 2~4회 분할 투여  경증  5079  1일 용량의 2/3, 2~3회 분할 투여  중등도  3049  1일 용량의 1/3, 2회 분할 투여  중증  < 30  1일 용량의 1/6, 1회 투여   < 20  투여 금기 ",밀폐용기.
100,대영산소(의료용),(주)대영아이지,19791017, 산소,"산소결핍증이 일어났을때 하는 산소흡입 또는 폐쇄순환마취시에 단독 혹은 이산화탄소와 함께 사용, 호흡근의 마비, 일산화탄소, 아질산, 코카인 등에 의한 중독시의 가사, 출혈, 외상쇼크, 마취시의 호흡마비, 순환계허탈, 관혈관질환, 두부외상, 극성신염 및 요독증세의 심기능장해, 폐렴, 폐부종, 기도의 폐쇄",필요량만큼 흡입하여 사용한다.보통 산소탱크를 사용하거나 40100%의 농도에서 마스크를 사용한다.,내압성금속제밀봉용기
101,노바콘트캅셀,(주)동방바이오,19790412," 아세트아미노펜, 말레인산클로르페니라민, 무수카페인, 살리실아미드","감기 제증상 (콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화",성인 1회 2캅셀 1일 3회 식후 30분에 복용한다.어린이 1회 : 714세 1캅셀,밀폐용기에 넣어 저장함
102,한성산소(의료용),한성산업(주),19791102, 산소,〇 의료용가스,의사의 지시에 따라 적량 사용한다.보통 40100%농도에서 비강캐뉼라 또는 마스크를 사용하여 흡입한다.,내압성 금속성 밀봉용기
103,녹단,고려은단(주),19790813," 회향가루, 감초엑스, 엘 멘톨, 아선약가루, 목향가루, 계피가루, 건강가루, 감초가루, 정향가루","구중청량, 구취제거",보통 1회 610립을 1일 수회 복용,밀폐용기
104,포리밴드네모,대일화학공업(주),19791218, 아크리놀,"상처부위, 환부 등의 보호",환부에 1일 1회 내지 수회 1매씩 갈아 붙인다.,밀폐용기에 넣어 40℃이하의 건조한 곳에 저장한다.
105,포리밴드대형,대일화학공업(주),19791218, 아크리놀,"상처부위, 환부 등의 보호",환부에 1일 1회 내지 수회 1매씩 갈아 붙인다.,밀폐용기에 넣어 40℃이하의 건조한 곳에 저장
106,대일포리밴드,대일화학공업(주),19791218, 아크리놀,"상처부위, 환부 등의 보호",환부에 1일 1회 내지 수회 1매씩 갈아 붙인다.,밀폐용기에 넣어 40℃이하의 건조한 곳에 저장한다.
107,대명스타키넷트,대명실업,19791110,첨가제 : 면사(20번수2합사),정형외과 처치용 및 환부의 보호와 보온을 목적으로 사용함,1회 1개씩 적의 사용 ,밀폐용기에 상온에서 보존함 
108,대명탄력붕대,대명실업,19790804,첨가제 : 면사20수,외과 처치용 및 환부의 보존과 보호,적당량을 환부에 사용,밀폐용기 실온보관(1~30℃)
109,메로드주사액(디아제팜),동화약품(주),19790212, 디아제팜,1) 벤질알코올은 조숙아에게서 치명적인 가쁜 호흡증상과 연관이 있는 것으로 보고되었다.(벤질알코올 함유 제품에 한함)," 성인1. 불안, 긴장 : 디아제팜으로서 중증인 경우 510㎎, 경증 또는 중등도의 경우 25㎎을 정맥 또는 근육주사한다. 필요에 따라 34시간후 반복 투여할 수 있다. 다만, 8시간 이내에 30㎎이상을 투여하지 않는다.2. 골격근 경련의 완화보조제 : 이 약으로서 510㎎을 정맥 또는 근육주사한다. 필요에 따라 34시간후 반복투여할 수 있다. 파상풍에는 더 많은 양이 필요할 수 있다.3. 경련발작 또는 간질중첩상태의 치료보조제 : 이 약으로서 초회량 510㎎을 정맥주사하고 필요에 따라 1015분 간격으로 최대 30㎎까지 천천히 정맥주사한다. 잔류하고있을 활성대사산물을 고려해야하며 만성 폐질환 환자 또는 불안정한 심혈관상태의 환자에는 매우 신중히 투여한다.4. 마취전투약 : 이 약으로서 수술전 10㎎을 근육주사한다.5. 알코올 금단증상 : 이 약으로서 초회량 10㎎을 정맥 또는 근육주사한다. 필요에 따라 34시간후 510㎎을 반복 투여할 수 있다.6. 내시경 검사 : 이 약으로서 10㎎ 또는 그 이하의 양을 정맥주사한다. 필요에 따라 20㎎까지 증량할 수 있다. 정맥주사를 할 수 없으면 검사 30분전에 510㎎을 천천히 근육주사한다.7. 심율동전환 : 이 약으로서 510분전에 515㎎을 천천히 정맥주사한다. 소아원칙적으로 정맥주사하며, 정맥주사가 불가능한 경우에는 근육주사 할 수 있다.1. 불안, 긴장 : 디아제팜으로서 체중 ㎏당 0.040.2㎎을 정맥주사한다. 필요에 따라 24시간마다 반복 투여할 수 있다. 다만, 8시간 이내에 체중 ㎏당 0.6㎎이상 투여하지 않는다.2. 경련발작 또는 간질중첩상태의 치료보조제 : 1개월 이상의 영아와 5세 미만의 유아는 이 약으로서 0.20.5㎎을 25분 간격으로 최대 5㎎까지 천천히 정맥주사한다. 5세 이상의 유·소아는 1㎎을 25분 간격으로 최대 10㎎이 될 때까지 천천히 정맥주사한다. 필요에 따라 24시간마다 반복투여 할 수 있다.3. 파상풍에서의 경련 완화 : 이 약으로서 1개월 이상의 영아와 5세 미만의 유아는 12㎎을 천천히 정맥주사한다. 필요에 따라 34시간마다 반복 투여할 수 있다. 5세 이상의 유·소아는 510㎎을 천천히 정맥주사한다. 필요에 따라 34시간마다 반복 투여할 수 있다.근육주사시에는 심부에 투여하고 정맥주사시에는 호흡보조장치가 준비되어 있어야 한다. 세정맥에는 정맥주사하지 말고 동맥내투여 또는 혈관외유출을 피하기 위해 신중히 투여한다. 정맥주사시에는 적어도 5㎎/분 속도로 천천히 주사하고 주사기내에서 다른 제제와 혼합해서는 안 된다.",DUR성분(성분1/성분2..병용성분)디아제팜
